YEAR,TEAM,REC1YRAGO,REC2YRAGO,REC3YRAGO,REC4YRAGO,REC5YRAGO
2018,Arizona,32-5,25-9,34-4,33-5,27-8
2019,Arizona,27-8,32-5,25-9,34-4,33-5
2020,Arizona,17-15,27-8,32-5,25-9,34-4
2021,Arizona,21-11,17-15,27-8,32-5,25-9
2022,Arizona,17-9,21-11,17-15,27-8,32-5
2018,Arizona St.,15-18,15-17,18-16,21-12,22-13
2019,Arizona St.,20-12,15-18,15-17,18-16,21-12
2020,Arizona St.,23-11,20-12,15-18,15-17,18-16
2021,Arizona St.,20-11,23-11,20-12,15-18,15-17
2022,Arizona St.,11-14,20-11,23-11,20-12,15-18
2018,California,21-13,23-11,18-15,21-14,21-12
2019,California,8-24,21-13,23-11,18-15,21-14
2020,California,8-23,8-24,21-13,23-11,18-15
2021,California,14-18,8-23,8-24,21-13,23-11
2022,California,9-20,14-18,8-23,8-24,21-13
2018,Colorado,19-15,22-12,16-18,23-12,21-12
2019,Colorado,17-15,19-15,22-12,16-18,23-12
2020,Colorado,23-13,17-15,19-15,22-12,16-18
2021,Colorado,21-11,23-13,17-15,19-15,22-12
2022,Colorado,23-9,21-11,23-13,17-15,19-15
2018,Oregon,33-6,31-7,26-10,24-10,28-9
2019,Oregon,23-13,33-6,31-7,26-10,24-10
2020,Oregon,25-13,23-13,33-6,31-7,26-10
2021,Oregon,24-7,25-13,23-13,33-6,31-7
2022,Oregon,21-7,24-7,25-13,23-13,33-6
2018,Oregon St.,5-27,19-13,17-14,16-16,14-18
2019,Oregon St.,16-16,5-27,19-13,17-14,16-16
2020,Oregon St.,18-13,16-16,5-27,19-13,17-14
2021,Oregon St.,18-13,18-13,16-16,5-27,19-13
2022,Oregon St.,20-13,18-13,18-13,16-16,5-27
2018,Stanford,14-17,15-15,24-13,23-13,19-15
2019,Stanford,19-16,14-17,15-15,24-13,23-13
2020,Stanford,15-16,19-16,14-17,15-15,24-13
2021,Stanford,20-12,15-16,19-16,14-17,15-15
2022,Stanford,14-13,20-12,15-16,19-16,14-17
2018,UCLA,31-5,15-17,22-14,28-9,25-10
2019,UCLA,21-12,31-5,15-17,22-14,28-9
2020,UCLA,17-16,21-12,31-5,15-17,22-14
2021,UCLA,19-12,17-16,21-12,31-5,15-17
2022,UCLA,21-10,19-12,17-16,21-12,31-5
2018,USC,26-10,21-13,12-20,11-21,14-18
2019,USC,24-12,26-10,21-13,12-20,11-21
2020,USC,16-17,24-12,26-10,21-13,12-20
2021,USC,22-9,16-17,24-12,26-10,21-13
2022,USC,25-8,22-9,16-17,24-12,26-10
2018,Utah,20-12,27-9,26-9,21-12,15-18
2019,Utah,23-12,20-12,27-9,26-9,21-12
2020,Utah,17-14,23-12,20-12,27-9,26-9
2021,Utah,16-15,17-14,23-12,20-12,27-9
2022,Utah,12-13,16-15,17-14,23-12,20-12
2018,Washington,9-22,19-15,16-15,17-15,18-16
2019,Washington,21-13,9-22,19-15,16-15,17-15
2020,Washington,27-9,21-13,9-22,19-15,16-15
2021,Washington,15-17,27-9,21-13,9-22,19-15
2022,Washington,5-21,15-17,27-9,21-13,9-22
2018,Washington St.,13-18,9-22,13-18,10-21,13-19
2019,Washington St.,12-19,13-18,9-22,13-18,10-21
2020,Washington St.,11-21,12-19,13-18,9-22,13-18
2021,Washington St.,16-16,11-21,12-19,13-18,9-22
2022,Washington St.,14-13,16-16,11-21,12-19,13-18
